chr - hs1 1 0 248956422 chr1
band hs1 p36.33 p36.33 0 2300000 gneg
band hs1 p36.32 p36.32 2300000 5300000 gpos25
band hs1 p36.31 p36.31 5300000 7100000 gneg
band hs1 p36.23 p36.23 7100000 9100000 gpos25
band hs1 p36.22 p36.22 9100000 12500000 gneg
band hs1 p36.21 p36.21 12500000 15900000 gpos50
band hs1 p36.13 p36.13 15900000 20100000 gneg
band hs1 p36.12 p36.12 20100000 23600000 gpos25
band hs1 p36.11 p36.11 23600000 27600000 gneg
band hs1 p35.3 p35.3 27600000 29900000 gpos25
band hs1 p35.2 p35.2 29900000 32300000 gneg
band hs1 p35.1 p35.1 32300000 34300000 gpos25
band hs1 p34.3 p34.3 34300000 39600000 gneg
band hs1 p34.2 p34.2 39600000 43700000 gpos25
band hs1 p34.1 p34.1 43700000 46300000 gneg
band hs1 p33 p33 46300000 50200000 gpos75
band hs1 p32.3 p32.3 50200000 55600000 gneg
band hs1 p32.2 p32.2 55600000 58500000 gpos50
band hs1 p32.1 p32.1 58500000 60800000 gneg
band hs1 p31.3 p31.3 60800000 68500000 gpos50
band hs1 p31.2 p31.2 68500000 69300000 gneg
band hs1 p31.1 p31.1 69300000 84400000 gpos100
band hs1 p22.3 p22.3 84400000 87900000 gneg
band hs1 p22.2 p22.2 87900000 91500000 gpos75
band hs1 p22.1 p22.1 91500000 94300000 gneg
band hs1 p21.3 p21.3 94300000 99300000 gpos75
band hs1 p21.2 p21.2 99300000 101800000 gneg
band hs1 p21.1 p21.1 101800000 106700000 gpos100
band hs1 p13.3 p13.3 106700000 111200000 gneg
band hs1 p13.2 p13.2 111200000 115500000 gpos50
band hs1 p13.1 p13.1 115500000 117200000 gneg
band hs1 p12 p12 117200000 120400000 gpos50
band hs1 p11.2 p11.2 120400000 121700000 gneg
band hs1 p11.1 p11.1 121700000 123400000 acen
band hs1 q11 q11 123400000 125100000 acen
band hs1 q12 q12 125100000 143200000 gvar
band hs1 q21.1 q21.1 143200000 147500000 gneg
band hs1 q21.2 q21.2 147500000 150600000 gpos50
band hs1 q21.3 q21.3 150600000 155100000 gneg
band hs1 q22 q22 155100000 156600000 gpos50
band hs1 q23.1 q23.1 156600000 159100000 gneg
band hs1 q23.2 q23.2 159100000 160500000 gpos50
band hs1 q23.3 q23.3 160500000 165500000 gneg
band hs1 q24.1 q24.1 165500000 167200000 gpos50
band hs1 q24.2 q24.2 167200000 170900000 gneg
band hs1 q24.3 q24.3 170900000 173000000 gpos75
band hs1 q25.1 q25.1 173000000 176100000 gneg
band hs1 q25.2 q25.2 176100000 180300000 gpos50
band hs1 q25.3 q25.3 180300000 185800000 gneg
band hs1 q31.1 q31.1 185800000 190800000 gpos100
band hs1 q31.2 q31.2 190800000 193800000 gneg
band hs1 q31.3 q31.3 193800000 198700000 gpos100
band hs1 q32.1 q32.1 198700000 207100000 gneg
band hs1 q32.2 q32.2 207100000 211300000 gpos25
band hs1 q32.3 q32.3 211300000 214400000 gneg
band hs1 q41 q41 214400000 223900000 gpos100
band hs1 q42.11 q42.11 223900000 224400000 gneg
band hs1 q42.12 q42.12 224400000 226800000 gpos25
band hs1 q42.13 q42.13 226800000 230500000 gneg
band hs1 q42.2 q42.2 230500000 234600000 gpos50
band hs1 q42.3 q42.3 234600000 236400000 gneg
band hs1 q43 q43 236400000 243500000 gpos75
band hs1 q44 q44 243500000 248956422 gneg
