chr - hsX X 0 156040895 chrx
band hsX p22.33 p22.33 0 4400000 gneg
band hsX p22.32 p22.32 4400000 6100000 gpos50
band hsX p22.31 p22.31 6100000 9600000 gneg
band hsX p22.2 p22.2 9600000 17400000 gpos50
band hsX p22.13 p22.13 17400000 19200000 gneg
band hsX p22.12 p22.12 19200000 21900000 gpos50
band hsX p22.11 p22.11 21900000 24900000 gneg
band hsX p21.3 p21.3 24900000 29300000 gpos100
band hsX p21.2 p21.2 29300000 31500000 gneg
band hsX p21.1 p21.1 31500000 37800000 gpos100
band hsX p11.4 p11.4 37800000 42500000 gneg
band hsX p11.3 p11.3 42500000 47600000 gpos75
band hsX p11.23 p11.23 47600000 50100000 gneg
band hsX p11.22 p11.22 50100000 54800000 gpos25
band hsX p11.21 p11.21 54800000 58100000 gneg
band hsX p11.1 p11.1 58100000 61000000 acen
band hsX q11.1 q11.1 61000000 63800000 acen
band hsX q11.2 q11.2 63800000 65400000 gneg
band hsX q12 q12 65400000 68500000 gpos50
band hsX q13.1 q13.1 68500000 73000000 gneg
band hsX q13.2 q13.2 73000000 74700000 gpos50
band hsX q13.3 q13.3 74700000 76800000 gneg
band hsX q21.1 q21.1 76800000 85400000 gpos100
band hsX q21.2 q21.2 85400000 87000000 gneg
band hsX q21.31 q21.31 87000000 92700000 gpos100
band hsX q21.32 q21.32 92700000 94300000 gneg
band hsX q21.33 q21.33 94300000 99100000 gpos75
band hsX q22.1 q22.1 99100000 103300000 gneg
band hsX q22.2 q22.2 103300000 104500000 gpos50
band hsX q22.3 q22.3 104500000 109400000 gneg
band hsX q23 q23 109400000 117400000 gpos75
band hsX q24 q24 117400000 121800000 gneg
band hsX q25 q25 121800000 129500000 gpos100
band hsX q26.1 q26.1 129500000 131300000 gneg
band hsX q26.2 q26.2 131300000 134500000 gpos25
band hsX q26.3 q26.3 134500000 138900000 gneg
band hsX q27.1 q27.1 138900000 141200000 gpos75
band hsX q27.2 q27.2 141200000 143000000 gneg
band hsX q27.3 q27.3 143000000 148000000 gpos100
band hsX q28 q28 148000000 156040895 gneg
