chr - hsY Y 0 57227415 chry
band hsY p11.32 p11.32 0 300000 gneg
band hsY p11.31 p11.31 300000 600000 gpos50
band hsY p11.2 p11.2 600000 10300000 gneg
band hsY p11.1 p11.1 10300000 10400000 acen
band hsY q11.1 q11.1 10400000 10600000 acen
band hsY q11.21 q11.21 10600000 12400000 gneg
band hsY q11.221 q11.221 12400000 17100000 gpos50
band hsY q11.222 q11.222 17100000 19600000 gneg
band hsY q11.223 q11.223 19600000 23800000 gpos50
band hsY q11.23 q11.23 23800000 26600000 gneg
band hsY q12 q12 26600000 57227415 gvar
